id_incidencia,id_empleado,sucursal,ciudad,tipo_incidencia,id_cliente,tipo_cliente,fecha_creacion,fecha_finalizacion,estado,indice_satisfaccion
290,EMP004,Sucursal_A,Madrid,Error Sistema,CL010,Basico,2024-01-22 10:00:18,2024-01-22 12:15:43,Cerrado,1
291,EMP005,Sucursal_B,Barcelona,Instalación Software,CL001,Premium,2024-01-22 09:40:33,2024-01-22 10:55:56,Cerrado,4
292,EMP006,Sucursal_B,Barcelona,Configuración Red,CL002,Basico,2024-01-22 12:50:44,2024-01-22 14:15:11,Cerrado,3
293,EMP007,Sucursal_B,Barcelona,Problema Software,CL003,Empresarial,2024-01-23 14:10:29,2024-01-23 15:00:16,Cerrado,5
294,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL004,Basico,2024-01-23 16:35:52,2024-01-23 18:50:27,Cerrado,2
295,EMP009,Sucursal_C,Valencia,Consulta Factura,CL005,Premium,2024-01-23 08:25:53,2024-01-23 08:41:08,Cerrado,4
296,EMP010,Sucursal_C,Valencia,Error Sistema,CL006,Empresarial,2024-01-23 10:50:19,2024-01-23 13:05:44,Cerrado,3
297,EMP011,Sucursal_C,Valencia,Instalación Software,CL007,Basico,2024-01-24 13:15:37,2024-01-24 14:30:54,Cerrado,4
298,EMP012,Sucursal_C,Valencia,Configuración Red,CL008,Premium,2024-01-24 15:40:48,2024-01-24 17:05:15,Cerrado,5
299,EMP001,Sucursal_A,Madrid,Problema Software,CL009,Empresarial,2024-01-24 09:30:22,2024-01-24 10:20:09,Cerrado,5
300,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL010,Basico,2024-01-24 11:45:47,2024-01-24 14:00:02,Cerrado,2
301,EMP003,Sucursal_A,Madrid,Consulta Factura,CL001,Premium,2024-01-25 14:05:31,2024-01-25 14:20:46,Cerrado,4
302,EMP004,Sucursal_A,Madrid,Error Sistema,CL002,Basico,2024-01-25 15:30:58,2024-01-25 17:05:23,Cerrado,3
303,EMP005,Sucursal_B,Barcelona,Instalación Software,CL003,Empresarial,2024-01-25 09:50:44,2024-01-25 11:05:17,Cerrado,5
304,EMP006,Sucursal_B,Barcelona,Configuración Red,CL004,Basico,2024-01-25 12:55:29,2024-01-25 14:20:56,Cerrado,3
305,EMP007,Sucursal_B,Barcelona,Problema Software,CL005,Premium,2024-01-26 15:10:14,2024-01-26 16:00:01,Cerrado,4
306,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL006,Empresarial,2024-01-26 16:45:38,2024-01-26 19:00:13,Cerrado,5
307,EMP009,Sucursal_C,Valencia,Consulta Factura,CL007,Basico,2024-01-26 08:30:53,2024-01-26 08:46:08,Cerrado,4
308,EMP010,Sucursal_C,Valencia,Error Sistema,CL008,Premium,2024-01-26 10:05:19,2024-01-26 12:20:44,Cerrado,5
309,EMP011,Sucursal_C,Valencia,Instalación Software,CL009,Empresarial,2024-01-29 13:20:37,2024-01-29 14:35:54,Cerrado,5
310,EMP012,Sucursal_C,Valencia,Configuración Red,CL010,Basico,2024-01-29 15:45:48,2024-01-29 17:10:15,Cerrado,3
311,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-01-29 09:15:22,2024-01-29 10:05:09,Abierto,
312,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-01-29 11:30:47,2024-01-29 13:45:02,Abierto,
313,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-01-30 14:45:31,2024-01-30 15:00:46,Abierto,
314,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-01-30 16:10:58,2024-01-30 17:45:23,Abierto,
315,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-01-31 09:35:44,2024-01-31 10:50:17,Abierto,
316,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-01-31 12:40:29,2024-01-31 14:05:56,Abierto,
317,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-02-01 08:50:33,2024-02-01 09:40:20,Cerrado,4
318,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-02-01 11:05:58,2024-02-01 13:20:13,Cerrado,5
319,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-02-01 14:30:47,2024-02-01 14:46:02,Cerrado,5
320,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-02-01 15:55:23,2024-02-01 17:30:48,Cerrado,2
321,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-02-02 09:20:38,2024-02-02 10:35:55,Cerrado,4
322,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-02-02 12:25:49,2024-02-02 13:50:16,Cerrado,3
323,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-02-02 15:10:24,2024-02-02 16:00:11,Cerrado,5
324,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-02-02 17:25:57,2024-02-02 19:40:22,Cerrado,1
325,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-02-05 08:40:42,2024-02-05 08:55:57,Cerrado,4
326,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-02-05 10:15:18,2024-02-05 12:30:43,Cerrado,3
327,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-02-05 09:30:33,2024-02-05 10:45:56,Cerrado,4
328,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-02-05 12:40:29,2024-02-05 14:05:56,Cerrado,5
329,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-02-06 15:20:14,2024-02-06 16:10:01,Cerrado,5
330,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-02-06 17:45:38,2024-02-06 20:00:13,Cerrado,2
331,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-02-06 08:35:53,2024-02-06 08:51:08,Cerrado,4
332,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-02-06 10:00:19,2024-02-06 12:15:44,Cerrado,3
333,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-02-07 13:10:37,2024-02-07 14:25:54,Cerrado,5
334,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-02-07 15:35:48,2024-02-07 17:00:15,Cerrado,3
335,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-02-07 09:25:22,2024-02-07 10:15:09,Cerrado,4
336,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-02-07 11:40:47,2024-02-07 13:55:02,Cerrado,5
337,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-02-08 14:55:31,2024-02-08 15:10:46,Cerrado,4
338,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-02-08 16:20:58,2024-02-08 17:55:23,Cerrado,5
339,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-02-08 09:15:44,2024-02-08 10:30:17,Cerrado,5
340,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-02-08 12:20:29,2024-02-08 13:45:56,Cerrado,3
341,EMP007,Sucursal_B,Barcelona,Problema Software,CL001,Premium,2024-02-09 15:05:14,2024-02-09 15:55:01,Cerrado,4
342,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL002,Basico,2024-02-09 16:30:38,2024-02-09 18:45:13,Cerrado,3
343,EMP009,Sucursal_C,Valencia,Consulta Factura,CL003,Empresarial,2024-02-09 08:40:53,2024-02-09 08:56:08,Cerrado,5
344,EMP010,Sucursal_C,Valencia,Error Sistema,CL004,Basico,2024-02-09 10:05:19,2024-02-09 12:20:44,Cerrado,2
345,EMP011,Sucursal_C,Valencia,Instalación Software,CL005,Premium,2024-02-12 13:15:37,2024-02-12 14:30:54,Cerrado,4
346,EMP012,Sucursal_C,Valencia,Configuración Red,CL006,Empresarial,2024-02-12 15:45:48,2024-02-12 17:10:15,Cerrado,5
347,EMP001,Sucursal_A,Madrid,Problema Software,CL007,Basico,2024-02-12 09:10:22,2024-02-12 10:00:09,Abierto,
348,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL008,Premium,2024-02-12 11:25:47,2024-02-12 13:40:02,Abierto,
349,EMP003,Sucursal_A,Madrid,Consulta Factura,CL009,Empresarial,2024-02-13 14:45:31,2024-02-13 15:00:46,Abierto,
350,EMP004,Sucursal_A,Madrid,Error Sistema,CL010,Basico,2024-02-13 16:10:58,2024-02-13 17:45:23,Abierto,
