id_incidencia,id_empleado,sucursal,ciudad,tipo_incidencia,id_cliente,tipo_cliente,fecha_creacion,fecha_finalizacion,estado,indice_satisfaccion
14,EMP004,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-03-16 10:05:33,2024-03-16 12:15:44,Cerrado,1
15,EMP005,Sucursal_B,Barcelona,Consulta Factura,CL005,Premium,2024-03-16 09:12:47,2024-03-16 09:28:15,Cerrado,4
16,EMP006,Sucursal_B,Barcelona,Error Sistema,CL006,Empresarial,2024-03-16 11:30:22,2024-03-16 13:05:38,Cerrado,3
17,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-03-16 14:20:54,2024-03-16 15:10:29,Cerrado,4
18,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-03-16 15:45:13,2024-03-16 17:30:21,Cerrado,5
19,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-03-16 10:18:42,2024-03-16 10:32:57,Cerrado,5
20,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-03-16 12:05:38,2024-03-16 14:20:16,Cerrado,2
21,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-03-16 13:45:29,2024-03-16 15:00:42,Cerrado,4
22,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-03-16 16:10:55,2024-03-16 17:35:18,Cerrado,3
23,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-03-17 09:25:47,2024-03-17 10:15:33,Cerrado,5
24,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-03-17 11:40:12,2024-03-17 13:55:27,Cerrado,2
25,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-03-17 14:15:38,2024-03-17 14:30:52,Cerrado,4
26,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-03-17 15:50:24,2024-03-17 17:25:41,Cerrado,3
27,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-03-17 10:30:19,2024-03-17 11:45:36,Cerrado,4
28,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-03-17 12:55:47,2024-03-17 14:20:13,Cerrado,5
29,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-03-17 15:10:28,2024-03-17 15:55:44,Cerrado,5
30,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-03-17 16:35:52,2024-03-17 18:50:27,Cerrado,1
31,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-03-18 08:45:33,2024-03-18 09:00:48,Cerrado,4
32,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-03-18 10:20:57,2024-03-18 12:35:22,Cerrado,2
33,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-03-18 13:15:41,2024-03-18 14:30:59,Cerrado,5
34,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-03-18 15:40:16,2024-03-18 17:05:33,Cerrado,3
35,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-03-18 09:30:28,2024-03-18 10:20:15,Abierto,
36,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-03-18 11:55:42,2024-03-18 14:10:37,Abierto,
37,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-03-18 14:25:53,2024-03-18 14:40:08,Abierto,
38,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-03-18 16:00:39,2024-03-18 17:35:54,Abierto,
39,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-03-18 10:50:24,2024-03-18 12:05:47,Abierto,
40,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-03-18 13:20:35,2024-03-18 14:45:52,Abierto,
41,EMP007,Sucursal_B,Barcelona,Problema Software,CL001,Premium,2024-03-19 09:15:49,2024-03-19 10:05:36,Cerrado,4
42,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL002,Basico,2024-03-19 11:30:14,2024-03-19 13:45:29,Cerrado,3
43,EMP009,Sucursal_C,Valencia,Consulta Factura,CL003,Empresarial,2024-03-19 14:05:27,2024-03-19 14:20:42,Cerrado,5
44,EMP010,Sucursal_C,Valencia,Error Sistema,CL004,Basico,2024-03-19 15:40:53,2024-03-19 17:15:18,Cerrado,2
45,EMP011,Sucursal_C,Valencia,Instalación Software,CL005,Premium,2024-03-19 10:25:38,2024-03-19 11:40:55,Cerrado,4
46,EMP012,Sucursal_C,Valencia,Configuración Red,CL006,Empresarial,2024-03-19 12:50:49,2024-03-19 14:15:14,Cerrado,5
47,EMP001,Sucursal_A,Madrid,Problema Software,CL007,Basico,2024-03-19 15:30:22,2024-03-19 16:20:09,Cerrado,4
48,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL008,Premium,2024-03-19 17:45:37,2024-03-19 19:30:52,Cerrado,5
49,EMP003,Sucursal_A,Madrid,Consulta Factura,CL009,Empresarial,2024-03-20 08:55:44,2024-03-20 09:10:59,Cerrado,5
50,EMP004,Sucursal_A,Madrid,Error Sistema,CL010,Basico,2024-03-20 10:30:18,2024-03-20 12:45:43,Cerrado,1
51,EMP005,Sucursal_B,Barcelona,Instalación Software,CL001,Premium,2024-03-20 09:40:33,2024-03-20 10:55:56,Cerrado,4
52,EMP006,Sucursal_B,Barcelona,Configuración Red,CL002,Basico,2024-03-20 12:10:44,2024-03-20 13:35:11,Cerrado,3
53,EMP007,Sucursal_B,Barcelona,Problema Software,CL003,Empresarial,2024-03-20 14:50:29,2024-03-20 15:40:16,Cerrado,5
54,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL004,Basico,2024-03-20 16:15:52,2024-03-20 18:30:27,Cerrado,2
55,EMP009,Sucursal_C,Valencia,Consulta Factura,CL005,Premium,2024-03-20 11:35:47,2024-03-20 11:50:02,Cerrado,4
56,EMP010,Sucursal_C,Valencia,Error Sistema,CL006,Empresarial,2024-03-20 13:20:13,2024-03-20 15:35:38,Cerrado,3
57,EMP011,Sucursal_C,Valencia,Instalación Software,CL007,Basico,2024-03-20 16:05:28,2024-03-20 17:20:45,Cerrado,4
58,EMP012,Sucursal_C,Valencia,Configuración Red,CL008,Premium,2024-03-20 18:25:39,2024-03-20 19:50:04,Cerrado,5
59,EMP001,Sucursal_A,Madrid,Problema Software,CL009,Empresarial,2024-03-21 09:05:54,2024-03-21 09:55:41,Cerrado,5
60,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL010,Basico,2024-03-21 11:20:19,2024-03-21 13:35:34,Cerrado,2
61,EMP003,Sucursal_A,Madrid,Consulta Factura,CL001,Premium,2024-03-21 14:40:52,2024-03-21 14:55:07,Cerrado,4
62,EMP004,Sucursal_A,Madrid,Error Sistema,CL002,Basico,2024-03-21 16:15:28,2024-03-21 17:50:53,Cerrado,3
63,EMP005,Sucursal_B,Barcelona,Instalación Software,CL003,Empresarial,2024-03-21 10:50:43,2024-03-21 12:05:16,Cerrado,5
64,EMP006,Sucursal_B,Barcelona,Configuración Red,CL004,Basico,2024-03-21 13:15:57,2024-03-21 14:40:24,Cerrado,3
65,EMP007,Sucursal_B,Barcelona,Problema Software,CL005,Premium,2024-03-21 15:30:38,2024-03-21 16:20:25,Cerrado,4
66,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL006,Empresarial,2024-03-21 17:45:12,2024-03-21 19:30:47,Cerrado,5
67,EMP009,Sucursal_C,Valencia,Consulta Factura,CL007,Basico,2024-03-22 08:35:29,2024-03-22 08:50:44,Cerrado,4
68,EMP010,Sucursal_C,Valencia,Error Sistema,CL008,Premium,2024-03-22 10:10:53,2024-03-22 12:25:18,Cerrado,5
69,EMP011,Sucursal_C,Valencia,Instalación Software,CL009,Empresarial,2024-03-22 13:40:37,2024-03-22 14:55:54,Cerrado,5
70,EMP012,Sucursal_C,Valencia,Configuración Red,CL010,Basico,2024-03-22 15:20:48,2024-03-22 16:45:15,Cerrado,3
71,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-03-22 09:55:14,2024-03-22 10:45:01,Abierto,
72,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-03-22 12:10:39,2024-03-22 14:25:54,Abierto,
73,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-03-22 14:40:22,2024-03-22 14:55:37,Abierto,
74,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-03-22 16:15:48,2024-03-22 17:50:13,Abierto,
75,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-03-22 11:30:05,2024-03-22 12:45:28,Abierto,
76,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-03-22 13:55:19,2024-03-22 15:20:46,Abierto,
77,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-03-23 09:25:33,2024-03-23 10:15:20,Cerrado,4
78,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-03-23 11:40:58,2024-03-23 13:55:13,Cerrado,5
79,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-03-23 14:05:47,2024-03-23 14:21:02,Cerrado,5
80,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-03-23 15:40:23,2024-03-23 17:15:48,Cerrado,2
81,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-03-23 10:45:38,2024-03-23 12:00:55,Cerrado,4
82,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-03-23 13:10:49,2024-03-23 14:35:16,Cerrado,3
83,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-03-23 15:50:24,2024-03-23 16:40:11,Cerrado,5
84,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-03-23 17:15:57,2024-03-23 19:30:22,Cerrado,1
85,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-03-24 09:00:42,2024-03-24 09:15:57,Cerrado,4
86,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-03-24 10:35:18,2024-03-24 12:50:43,Cerrado,3
87,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-03-24 11:20:33,2024-03-24 12:35:56,Cerrado,4
88,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-03-24 13:45:29,2024-03-24 15:10:56,Cerrado,5
89,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-03-24 15:30:14,2024-03-24 16:20:01,Cerrado,5
90,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-03-24 17:45:38,2024-03-24 20:00:13,Cerrado,2
91,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-03-25 08:50:53,2024-03-25 09:06:08,Cerrado,4
92,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-03-25 10:25:19,2024-03-25 12:40:44,Cerrado,3
93,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-03-25 13:00:37,2024-03-25 14:15:54,Cerrado,5
94,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-03-25 15:30:48,2024-03-25 16:55:15,Cerrado,3
95,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-03-25 09:40:22,2024-03-25 10:30:09,Abierto,
96,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-03-25 12:05:47,2024-03-25 14:20:02,Abierto,
97,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-03-25 14:35:31,2024-03-25 14:50:46,Abierto,
98,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-03-25 16:10:58,2024-03-25 17:45:23,Abierto,
99,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-03-25 11:15:44,2024-03-25 12:30:17,Abierto,
100,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-03-25 13:40:29,2024-03-25 15:05:56,Abierto,
101,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-03-26 08:30:15,2024-03-26 09:20:02,Cerrado,4
102,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-03-26 10:45:37,2024-03-26 13:00:52,Cerrado,3
103,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-03-26 14:15:49,2024-03-26 14:31:04,Cerrado,5
104,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-03-26 15:50:23,2024-03-26 17:25:48,Cerrado,2
105,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-03-26 09:55:38,2024-03-26 11:10:55,Cerrado,4
106,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-03-26 12:20:44,2024-03-26 13:45:11,Cerrado,3
107,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-03-26 15:05:29,2024-03-26 15:55:16,Cerrado,4
108,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-03-26 16:30:52,2024-03-26 18:45:27,Cerrado,5
109,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-03-27 08:40:13,2024-03-27 08:55:28,Cerrado,5
110,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-03-27 10:15:39,2024-03-27 12:30:04,Cerrado,2
111,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-03-27 13:25:47,2024-03-27 14:40:14,Cerrado,4
112,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-03-27 15:35:58,2024-03-27 17:00:25,Cerrado,3
113,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-03-27 09:10:22,2024-03-27 10:00:09,Cerrado,5
114,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-03-27 11:25:47,2024-03-27 13:40:12,Cerrado,1
115,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-03-27 14:45:31,2024-03-27 15:00:46,Cerrado,4
116,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-03-27 16:10:58,2024-03-27 17:45:23,Cerrado,3
117,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-03-28 09:30:44,2024-03-28 10:45:17,Cerrado,4
118,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-03-28 12:00:29,2024-03-28 13:25:56,Cerrado,5
119,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-03-28 14:40:14,2024-03-28 15:30:01,Cerrado,5
120,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-03-28 16:55:38,2024-03-28 19:10:13,Cerrado,2
121,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-03-28 08:25:53,2024-03-28 08:41:08,Cerrado,4
122,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-03-28 10:00:19,2024-03-28 12:15:44,Cerrado,3
123,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-03-28 13:20:37,2024-03-28 14:35:54,Cerrado,5
124,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-03-28 15:45:48,2024-03-28 17:10:15,Cerrado,3
125,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-03-29 08:55:22,2024-03-29 09:45:09,Abierto,
126,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-03-29 11:10:47,2024-03-29 13:25:02,Abierto,
127,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-03-29 14:30:31,2024-03-29 14:45:46,Abierto,
128,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-03-29 16:05:58,2024-03-29 17:40:23,Abierto,
129,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-03-29 09:40:44,2024-03-29 10:55:17,Abierto,
130,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-03-29 12:05:29,2024-03-29 13:30:56,Abierto,
131,EMP007,Sucursal_B,Barcelona,Problema Software,CL001,Premium,2024-03-29 15:20:33,2024-03-29 16:10:20,Cerrado,4
132,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL002,Basico,2024-03-29 17:35:58,2024-03-29 19:50:13,Cerrado,3
133,EMP009,Sucursal_C,Valencia,Consulta Factura,CL003,Empresarial,2024-03-30 08:45:47,2024-03-30 09:01:02,Cerrado,5
134,EMP010,Sucursal_C,Valencia,Error Sistema,CL004,Basico,2024-03-30 10:20:23,2024-03-30 12:35:48,Cerrado,2
135,EMP011,Sucursal_C,Valencia,Instalación Software,CL005,Premium,2024-03-30 13:30:38,2024-03-30 14:45:55,Cerrado,4
136,EMP012,Sucursal_C,Valencia,Configuración Red,CL006,Empresarial,2024-03-30 15:40:49,2024-03-30 17:05:16,Cerrado,5
137,EMP001,Sucursal_A,Madrid,Problema Software,CL007,Basico,2024-03-30 09:15:24,2024-03-30 10:05:11,Cerrado,4
138,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL008,Premium,2024-03-30 11:30:57,2024-03-30 13:45:22,Cerrado,5
139,EMP003,Sucursal_A,Madrid,Consulta Factura,CL009,Empresarial,2024-03-30 14:50:42,2024-03-30 15:05:57,Cerrado,5
140,EMP004,Sucursal_A,Madrid,Error Sistema,CL010,Basico,2024-03-30 16:25:18,2024-03-30 18:40:43,Cerrado,1
141,EMP005,Sucursal_B,Barcelona,Instalación Software,CL001,Premium,2024-03-31 09:05:33,2024-03-31 10:20:56,Cerrado,4
142,EMP006,Sucursal_B,Barcelona,Configuración Red,CL002,Basico,2024-03-31 11:35:44,2024-03-31 13:00:11,Cerrado,3
143,EMP007,Sucursal_B,Barcelona,Problema Software,CL003,Empresarial,2024-03-31 14:15:29,2024-03-31 15:05:16,Cerrado,5
144,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL004,Basico,2024-03-31 16:30:52,2024-03-31 18:45:27,Cerrado,2
145,EMP009,Sucursal_C,Valencia,Consulta Factura,CL005,Premium,2024-03-31 08:20:53,2024-03-31 08:36:08,Cerrado,4
146,EMP010,Sucursal_C,Valencia,Error Sistema,CL006,Empresarial,2024-03-31 09:55:19,2024-03-31 12:10:44,Cerrado,3
147,EMP011,Sucursal_C,Valencia,Instalación Software,CL007,Basico,2024-03-31 13:10:37,2024-03-31 14:25:54,Cerrado,4
148,EMP012,Sucursal_C,Valencia,Configuración Red,CL008,Premium,2024-03-31 15:35:48,2024-03-31 17:00:15,Cerrado,5
149,EMP001,Sucursal_A,Madrid,Problema Software,CL009,Empresarial,2024-04-01 08:45:22,2024-04-01 09:35:09,Cerrado,5
150,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL010,Basico,2024-04-01 11:00:47,2024-04-01 13:15:02,Cerrado,2
151,EMP003,Sucursal_A,Madrid,Consulta Factura,CL001,Premium,2024-04-01 14:20:31,2024-04-01 14:35:46,Cerrado,4
152,EMP004,Sucursal_A,Madrid,Error Sistema,CL002,Basico,2024-04-01 15:55:58,2024-04-01 17:30:23,Cerrado,3
153,EMP005,Sucursal_B,Barcelona,Instalación Software,CL003,Empresarial,2024-04-01 09:25:44,2024-04-01 10:40:17,Cerrado,5
154,EMP006,Sucursal_B,Barcelona,Configuración Red,CL004,Basico,2024-04-01 12:45:29,2024-04-01 14:10:56,Cerrado,3
155,EMP007,Sucursal_B,Barcelona,Problema Software,CL005,Premium,2024-04-01 15:05:14,2024-04-01 15:55:01,Cerrado,4
156,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL006,Empresarial,2024-04-01 16:30:38,2024-04-01 18:45:13,Cerrado,5
157,EMP009,Sucursal_C,Valencia,Consulta Factura,CL007,Basico,2024-04-02 08:35:53,2024-04-02 08:51:08,Cerrado,4
158,EMP010,Sucursal_C,Valencia,Error Sistema,CL008,Premium,2024-04-02 10:10:19,2024-04-02 12:25:44,Cerrado,5
159,EMP011,Sucursal_C,Valencia,Instalación Software,CL009,Empresarial,2024-04-02 13:30:37,2024-04-02 14:45:54,Cerrado,5
160,EMP012,Sucursal_C,Valencia,Configuración Red,CL010,Basico,2024-04-02 15:50:48,2024-04-02 17:15:15,Cerrado,3
161,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-04-02 09:00:22,2024-04-02 09:50:09,Abierto,
162,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-04-02 11:15:47,2024-04-02 13:30:02,Abierto,
163,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-04-02 14:40:31,2024-04-02 14:55:46,Abierto,
164,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-04-02 16:05:58,2024-04-02 17:40:23,Abierto,
165,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-04-02 09:50:44,2024-04-02 11:05:17,Abierto,
166,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-04-02 12:15:29,2024-04-02 13:40:56,Abierto,
167,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-04-03 08:25:33,2024-04-03 09:15:20,Cerrado,4
168,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-04-03 10:40:58,2024-04-03 12:55:13,Cerrado,5
169,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-04-03 14:05:47,2024-04-03 14:21:02,Cerrado,5
170,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-04-03 15:40:23,2024-04-03 17:15:48,Cerrado,2
171,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-04-03 09:30:38,2024-04-03 10:45:55,Cerrado,4
172,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-04-03 12:50:49,2024-04-03 14:15:16,Cerrado,3
173,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-04-03 15:10:24,2024-04-03 16:00:11,Cerrado,5
174,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-04-03 17:25:57,2024-04-03 19:40:22,Cerrado,1
175,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-04-04 08:45:42,2024-04-04 09:00:57,Cerrado,4
176,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-04-04 10:20:18,2024-04-04 12:35:43,Cerrado,3
177,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-04-04 09:55:33,2024-04-04 11:10:56,Cerrado,4
178,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-04-04 13:15:29,2024-04-04 14:40:56,Cerrado,5
179,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-04-04 15:35:14,2024-04-04 16:25:01,Cerrado,5
180,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-04-04 17:50:38,2024-04-04 20:05:13,Cerrado,2
181,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-04-05 08:30:53,2024-04-05 08:46:08,Cerrado,4
182,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-04-05 10:05:19,2024-04-05 12:20:44,Cerrado,3
183,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-04-05 13:15:37,2024-04-05 14:30:54,Cerrado,5
184,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-04-05 15:40:48,2024-04-05 17:05:15,Cerrado,3
185,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-04-05 09:20:22,2024-04-05 10:10:09,Cerrado,4
186,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-04-05 11:35:47,2024-04-05 13:50:02,Cerrado,5
187,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-04-05 14:50:31,2024-04-05 15:05:46,Cerrado,4
188,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-04-05 16:15:58,2024-04-05 17:50:23,Cerrado,5
189,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-04-06 09:10:44,2024-04-06 10:25:17,Cerrado,5
190,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-04-06 11:35:29,2024-04-06 13:00:56,Cerrado,3
191,EMP007,Sucursal_B,Barcelona,Problema Software,CL001,Premium,2024-04-06 14:55:14,2024-04-06 15:45:01,Cerrado,4
192,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL002,Basico,2024-04-06 16:20:38,2024-04-06 18:35:13,Cerrado,3
193,EMP009,Sucursal_C,Valencia,Consulta Factura,CL003,Empresarial,2024-04-06 08:45:53,2024-04-06 09:01:08,Cerrado,5
194,EMP010,Sucursal_C,Valencia,Error Sistema,CL004,Basico,2024-04-06 10:20:19,2024-04-06 12:35:44,Cerrado,2
195,EMP011,Sucursal_C,Valencia,Instalación Software,CL005,Premium,2024-04-06 13:25:37,2024-04-06 14:40:54,Cerrado,4
196,EMP012,Sucursal_C,Valencia,Configuración Red,CL006,Empresarial,2024-04-06 15:45:48,2024-04-06 17:10:15,Cerrado,5
197,EMP001,Sucursal_A,Madrid,Problema Software,CL007,Basico,2024-04-07 09:05:22,2024-04-07 09:55:09,Abierto,
